"species","Female_None_Mean","Female_None_SE","Female_None_Lower","Female_None_Upper","Female_Hormonal_Mean","Female_Hormonal_SE","Female_Hormonal_Lower","Female_Hormonal_Upper","Female_Immunological_Mean","Female_Immunological_SE","Female_Immunological_Lower","Female_Immunological_Upper","Female_Surgical_Mean","Female_Surgical_SE","Female_Surgical_Lower","Female_Surgical_Upper","Female_Undetermined_Mean","Female_Undetermined_SE","Female_Undetermined_Lower","Female_Undetermined_Upper","Male_None_Mean","Male_None_SE","Male_None_Lower","Male_None_Upper","Male_Hormonal_Mean","Male_Hormonal_SE","Male_Hormonal_Lower","Male_Hormonal_Upper","Male_Immunological_Mean","Male_Immunological_SE","Male_Immunological_Lower","Male_Immunological_Upper","Male_Surgical_Mean","Male_Surgical_SE","Male_Surgical_Lower","Male_Surgical_Upper","Male_Undetermined_Mean","Male_Undetermined_SE","Male_Undetermined_Lower","Male_Undetermined_Upper"
"Acinonyx jubatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42347115346776,0.115983840970966,9.19806167746917,9.65917719418866,NA,NA,NA,NA,NA,NA,NA,NA,9.95896226321139,0.884157847573231,8.35350748806934,11.8244546437055,NA,NA,NA,NA
"Addax nasomaculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74435452596792,0.235922678331621,7.29219803438157,8.22046059417908,NA,NA,NA,NA,NA,NA,NA,NA,9.17321330433167,0.791120834386561,7.7067483716528,10.8403612505845,6.87626649748929,0.929532882801056,5.22133315365493,8.88721489854761
"Aepyceros melampus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21159215796803,0.229535491250415,4.78394334688703,5.68358474684031,NA,NA,NA,NA,NA,NA,NA,NA,7.67056728945647,0.869373063696114,6.16783879362898,9.60929882609664,NA,NA,NA,NA
"Ailurus fulgens",9.66457046221379,0.193535956728063,9.28601645527551,10.0423133093916,8.19579490543614,0.773658554680243,6.75527574495396,9.78690042081591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alouatta caraya",12.1539903246514,0.722169207544511,10.8021513947503,13.6738730314379,18.9661189681744,1.92740028511297,15.5002323016088,22.912885817121,NA,NA,NA,NA,NA,NA,NA,NA,18.3998735087436,1.58145633154718,15.4340186019012,21.7438455952008,13.4423397491114,0.627450715749679,12.2747748268262,14.6957601901339,NA,NA,NA,NA,NA,NA,NA,NA,13.9844328839492,2.08483812174621,10.3490250952219,18.3600262602932,NA,NA,NA,NA
"Ammotragus lervia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82427762438046,0.183544133835492,9.47248569853699,10.2051102578063,NA,NA,NA,NA,NA,NA,NA,NA,10.1922728842048,0.732260375588664,8.87530086897493,11.7169457615116,NA,NA,NA,NA
"Antidorcas marsupialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44842229072848,0.18955462356268,4.100629407397,4.84123024004769,NA,NA,NA,NA,NA,NA,NA,NA,4.03642452359828,0.636908802923327,2.96659364606331,5.4550972698284,NA,NA,NA,NA
"Antilope cervicapra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59452896473842,0.132619695771582,5.34883700450681,5.86118856130809,NA,NA,NA,NA,NA,NA,NA,NA,9.46979785128426,0.718674723771796,8.17977083869548,10.9871998594774,NA,NA,NA,NA
"Aonyx cinereus",9.35805146089548,0.184289286459856,8.9924845135852,9.72078715433557,11.164200970673,0.97782058426896,9.41678893718672,13.228507909119,NA,NA,NA,NA,NA,NA,NA,NA,7.1387982828658,0.917869782146487,5.49540926716832,9.11731849990867,10.7989878628116,0.22624493512933,10.3711047432339,11.2481287439305,12.3874438832861,1.98160483119925,8.95861519270185,16.7030034218137,NA,NA,NA,NA,11.1557849121028,0.857700023547851,9.59255598785579,12.9242068687998,NA,NA,NA,NA
"Arctictis binturong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0164841146104,0.478776361694762,14.1089658728626,15.969333146558,NA,NA,NA,NA,NA,NA,NA,NA,15.6602636840033,1.86805885473194,12.2848434777803,19.6100557927357,NA,NA,NA,NA
"Artibeus jamaicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.40887947211339,0.326143082883207,4.81049592233346,6.06523867650084,NA,NA,NA,NA,NA,NA,NA,NA,9.53929099555747,1.33634493997882,7.32206208281727,12.5811032998571,NA,NA,NA,NA
"Ateles fusciceps",26.2722336727823,3.04304332255224,22.2900170151031,34.6811022231045,33.6422973323049,11.5706970403852,19.7089821463713,60.7380330192187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
