species,Female_None_Mean,Female_None_SE,Female_None_Lower,Female_None_Upper,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_None_Mean,Male_None_SE,Male_None_Lower,Male_None_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper,Female.None,Female.Hormonal,Female.Immunological,Female.Surgical,Female.Undetermined,Male.None,Male.Hormonal,Male.Immunological,Male.Surgical,Male.Undetermined
Bison bison,15.48248973,0.244495167,15.00856179,15.976256,NA,NA,NA,NA,19.01754694,2.761565308,14.19967334,25.09108791,NA,NA,NA,NA,NA,NA,NA,NA,12.3029348,0.335136042,11.67605234,12.99041047,NA,NA,NA,NA,NA,NA,NA,NA,12.88850719,0.999862156,11.03572719,15.02200944,NA,NA,NA,NA,4235,8,33,2,12,3703,0,0,104,18
Bos grunniens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.58161465,0.458961957,9.732941622,11.53244517,NA,NA,NA,NA,NA,NA,NA,NA,11.79863422,1.911922362,8.470441578,15.99878454,NA,NA,NA,NA,0,0,0,0,0,1374,0,0,37,5
Bos javanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.60976657,0.479830867,9.75140136,11.60403237,NA,NA,NA,NA,NA,NA,NA,NA,8.6656692,1.688993322,5.894990766,12.3699404,NA,NA,NA,NA,0,0,0,0,0,998,2,2,32,3
Bos taurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.66891654,0.338927918,10.01319167,11.34518312,NA,NA,NA,NA,NA,NA,NA,NA,15.00159228,1.314322044,12.57932392,17.74474804,14.32626093,2.577323077,10.07234063,20.07648973,0,0,0,0,0,4303,0,0,271,49
Boselaphus tragocamelus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32194599,0.548890592,9.294336622,11.47760069,NA,NA,NA,NA,NA,NA,NA,NA,9.621401159,1.581583181,7.014456748,13.22837376,NA,NA,NA,NA,0,0,0,0,0,2180,1,2,57,18
Bubalus bubalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.10866109,0.670512794,8.848178267,11.49814964,NA,NA,NA,NA,NA,NA,NA,NA,18.19114292,2.298515696,13.82727374,22.79095665,NA,NA,NA,NA,0,0,0,0,0,622,1,0,36,6
Callimico goeldii,9.429752002,0.286215522,8.893279584,10.00393135,8.769608218,1.391439916,6.397770071,11.85510941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072,42,0,19,17,0,0,0,0,0
Callithrix geoffroyi,6.218729964,0.220801987,5.805678062,6.678633726,5.80297234,0.721546202,4.508713456,7.337393572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043,65,0,4,17,0,0,0,0,0
Callithrix jacchus,6.987538879,0.183764013,6.634120564,7.364259347,7.428078285,0.980746859,5.77413301,9.579847739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.807085654,0.17525293,7.467827172,8.159187573,NA,NA,NA,NA,NA,NA,NA,NA,11.2737391,1.42835429,8.815394164,14.41098876,NA,NA,NA,NA,3206,147,0,21,8,3868,12,0,115,6
Camelus bactrianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.93248948,0.386983223,13.20733079,14.70385707,NA,NA,NA,NA,NA,NA,NA,NA,12.11925215,1.117023365,10.0913594,14.46963163,NA,NA,NA,NA,0,0,0,0,0,2081,5,1,94,17
