species,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper
Macaca sylvanus,-0.350888768,0.141170198,-0.62979234,-0.089419731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.518716964,0.157803221,-0.837914181,-0.216280931,NA,NA,NA,NA
Macaca tonkeana,0.642599035,0.287623198,0.062741995,1.195039582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.077177601,0.3100352,-0.698282352,0.509598187,NA,NA,NA,NA
Macropus eugenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.522255306,0.268869263,-1.094633549,-0.029921306,NA,NA,NA,NA
Macropus fuliginosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194186048,0.165469067,-0.524645197,0.118386542,NA,NA,NA,NA
Macropus giganteus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.833629258,0.13423978,-1.100832363,-0.576430299,NA,NA,NA,NA
Macropus parma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.294554067,0.199145901,-0.700194387,0.064076914,NA,NA,NA,NA
Macropus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.059179321,0.208073892,-0.495392696,0.333812387,NA,NA,NA,NA
Macropus rufogriseus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.205464493,-0.327893579,0.29404819,0.005017795,0.061206167,-0.088406493,0.14202915,0.567530852
Macropus rufus,0.071509869,0.20424293,-0.351587845,0.443871643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.276402965,0.084329483,-0.438441583,-0.109816473,NA,NA,NA,NA
Mephitis mephitis,NA,NA,NA,NA,NA,NA,NA,NA,-0.558126584,0.209179315,-0.975256241,-0.161685741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.066939419,0.120688613,-0.309066619,0.160361555,NA,NA,NA,NA
Mungos mungo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009280453,0.28859643,-0.592700111,0.544605428,NA,NA,NA,NA
Muntiacus reevesi,-0.128525855,0.241860885,-0.638023069,0.30986958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68247315,0.180538416,-1.043057639,-0.350798974,NA,NA,NA,NA
Mustela nigripes,NA,NA,NA,NA,NA,NA,NA,NA,0.025197252,0.166049159,-0.298445272,0.34478002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125232677,0.134117158,-0.14339616,0.382209663,NA,NA,NA,NA
Mustela putorius,0.42728106,0.82706865,-0.414832152,0.197195773,NA,NA,NA,NA,0.218329095,-0.235326065,-0.068946392,-0.697372882,-0.032352862,0.087996807,-0.305027894,0.086216437,NA,NA,NA,NA,NA,NA,NA,NA,0.084906252,-0.048953603,0.14394464,-0.233881729,0.068946045,0.222173931,0.19136278,0.504145525
Myocastor coypus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.082309943,0.18089503,-0.44896287,0.256276711,NA,NA,NA,NA
Nasua narica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031503052,0.178153975,-0.328325383,0.381098734,NA,NA,NA,NA
Nasua nasua,-0.004837681,0.425636104,-0.632029779,0.175637835,NA,NA,NA,NA,0.229449647,-0.109085204,0.348636592,-0.078800689,-0.487710731,0.253026268,0.278923262,0.606288541,NA,NA,NA,NA,NA,NA,NA,NA,-0.175430968,-0.383960389,0.020199894,-0.438685926,0.105806795,0.025159933,0.227324962,0.429035095
Neofelis nebulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctereutes procyonoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246978878,0.273197567,-0.30420349,0.756689029,NA,NA,NA,NA
Octodon degus,-0.294353378,0.169336811,-0.642128742,0.028127278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063959184,0.106977775,-0.142525544,0.270572597,NA,NA,NA,NA
Odocoileus virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.294222302,0.12156727,-0.538644728,-0.06438224,NA,NA,NA,NA
Oryctolagus cuniculus,NA,NA,NA,NA,NA,NA,NA,NA,-0.420599794,-0.591817755,-0.358054081,-0.813470739,0.084122682,-0.255881054,0.216648591,0.044853031,NA,NA,NA,NA,NA,NA,NA,NA,-0.137170438,-0.257817909,0.123068456,-0.236689633,0.063133227,-0.014596044,0.171630166,0.449554501
Oryx dammah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.622093763,0.131916751,-0.893170334,-0.369862837,NA,NA,NA,NA
Oryx gazella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.629424333,0.25591556,-1.163426596,-0.150024682,NA,NA,NA,NA
Ovis aries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.424816656,-0.584757607,-0.880003423,-1.281969787,0.081617616,-0.26967305,0.199907361,-0.510945601
Ovis canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.80571248,0.266253208,-1.343491452,-0.308149103,NA,NA,NA,NA
Pan paniscus,0.687639401,0.611071485,-0.577851354,1.793999528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan troglodytes,-0.434886446,-0.828573791,0.051865812,-0.317587739,NA,NA,NA,NA,NA,NA,NA,NA,0.194082208,-0.066276994,0.178658064,0.386440347,NA,NA,NA,NA,NA,NA,NA,NA,-0.987449188,-1.400984716,0.226158668,-0.359742594,0.197939634,-0.615836379,0.282661224,0.759645003
Panthera leo,-0.346987913,-0.146933338,-0.247931952,0.084154055,NA,NA,NA,NA,0.106097222,-0.033561636,0.175032711,-0.046830885,-0.558603384,0.108688883,0.121056194,0.282203281,NA,NA,NA,NA,NA,NA,NA,NA,0.266532782,0.056237421,0.392823171,-0.004425921,0.106610304,0.475450936,0.196324717,0.762582778
Panthera onca,-0.051908534,0.285505544,-0.642026266,0.482818715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera pardus,-0.035231328,0.458645872,-0.264218057,0.183471823,NA,NA,NA,NA,0.270121627,0.1620032,0.545324004,0.104372941,-0.590593762,0.205735668,0.484155326,0.839965165,NA,NA,NA,NA,NA,NA,NA,NA,0.427235423,0.22290557,-0.031193774,0.833037921,NA,NA,NA,NA
Panthera tigris,0.042617062,0.317798418,-0.215672647,0.12035937,NA,NA,NA,NA,0.14400452,0.053176031,0.306564143,0.115322806,-0.242678485,0.133266836,0.35450109,0.580860689,NA,NA,NA,NA,NA,NA,NA,NA,0.304017138,0.06422354,0.377405381,0.015591543,0.121489573,0.540031702,0.173823039,0.709399432
Panthera uncia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014776907,0.170538284,-0.353178673,0.307051939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio anubis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.068320959,0.339988533,-1.755890769,-0.438442315,NA,NA,NA,NA
Papio hamadryas,-0.592116427,-0.369767327,-0.805023522,0.145534923,NA,NA,NA,NA,0.111871809,-0.543451271,-0.29904744,-0.634772398,-0.810457237,0.129043302,-0.345281762,-0.06662067,NA,NA,NA,NA,NA,NA,NA,NA,-0.637123636,-0.876152087,-0.44692562,-0.847770912,0.118272286,-0.406333343,0.193756295,-0.085420736
Papio papio,0.030654878,0.301853278,-0.597100434,0.597723708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202063142,0.341523962,-0.511435977,0.834136706,NA,NA,NA,NA
Pecari tajacu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.859374246,0.181907696,-1.234465288,-0.521380703,NA,NA,NA,NA
Petaurus breviceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178962595,0.126199541,-0.073777186,0.42521547,NA,NA,NA,NA
Petrogale xanthopus,-0.095044156,0.254938677,-0.613375,0.380092009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.743554849,0.211584233,-1.168454798,-0.344728874,NA,NA,NA,NA
Phacochoerus africanus,-0.150933093,0.27202132,-0.706207294,0.355821874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006104854,0.302145996,-0.625610401,0.543214189,NA,NA,NA,NA
Phascolarctos cinereus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.112455467,0.261342212,-1.648390809,-0.633575951,NA,NA,NA,NA
Pithecia pithecia,-0.582945524,-1.036516584,-0.49649664,-0.938845263,NA,NA,NA,NA,NA,NA,NA,NA,0.218708107,-0.168986115,0.21493918,-0.098387194,NA,NA,NA,NA,NA,NA,NA,NA,-0.2864705,0.31694004,-0.963505811,0.285201771,NA,NA,NA,NA
Pongo abelii,-0.741535127,0.500831891,-1.813358142,0.153825354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo pygmaeus,-0.941819017,-1.830551837,-0.731920782,-1.682358066,NA,NA,NA,NA,NA,NA,NA,NA,0.421004027,-0.17945366,0.450152968,0.075330006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamochoerus porcus,0.057535502,0.22681523,-0.41726443,0.486199829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.269869242,0.302539864,-0.900419269,0.281352053,NA,NA,NA,NA
Potos flavus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667856889,0.384155188,-1.461604469,0.034690276,NA,NA,NA,NA
Procavia capensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.354916524,-0.743954826,-0.061385492,-0.404361147,NA,NA,NA,NA,0.190657244,0.002099991,0.170287667,0.260610879,NA,NA,NA,NA
Procyon lotor,NA,NA,NA,NA,NA,NA,NA,NA,-0.183706139,0.138107431,-0.457528654,0.081873359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.345316602,-0.533699072,0.054214669,-0.275258431,0.093030357,-0.170860494,0.16465469,0.366531104
Propithecus coquereli,-1.525488539,0.432209005,-2.396530629,-0.695611747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudocheirus peregrinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.242894414,0.236763565,-2.708957878,-1.793090445,NA,NA,NA,NA
Pteropus rodricensis,-0.248729639,0.186499137,-0.63216574,0.097811211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puma concolor,NA,NA,NA,NA,NA,NA,NA,NA,-0.443318591,0.180918416,-0.818077646,-0.101989391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.475828585,0.161577595,-0.792192887,-0.16297336,NA,NA,NA,NA
Rangifer tarandus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.418895463,0.156583658,-0.742510967,-0.11956577,NA,NA,NA,NA
Rattus norvegicus,NA,NA,NA,NA,NA,NA,NA,NA,-0.058946526,0.092181246,-0.240508717,0.122717072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031765939,0.089955252,-0.147041917,0.2016332,NA,NA,NA,NA
Rousettus aegyptiacus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640343409,0.096224378,0.44790297,0.823908717,NA,NA,NA,NA
Saguinus bicolor,-0.761984954,0.272126462,-1.318195534,-0.245136792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus imperator,-0.307571826,0.169303695,-0.645755416,0.01210228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014045584,0.306230179,-0.655726636,0.559494702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus oedipus,-0.32436665,-0.564169904,-0.108310871,-0.344234474,NA,NA,NA,NA,NA,NA,NA,NA,0.122675137,-0.087169872,0.116636636,0.117123287,-0.267493259,-1.065518865,-0.160522473,-0.489928329,NA,NA,NA,NA,0.366266496,0.373442163,0.165343082,0.149762609,NA,NA,NA,NA
Saimiri boliviensis,0.358189858,-0.255923839,0.112565494,-0.314855076,NA,NA,NA,NA,NA,NA,NA,NA,0.29494843,0.904464334,0.208127549,0.509415854,NA,NA,NA,NA,NA,NA,NA,NA,0.221040022,-0.107260085,-0.157601478,-0.556768658,0.165056573,0.533241327,0.198318105,0.221611487
Saimiri sciureus,-0.609261982,-1.202146238,-0.233283937,-0.86929616,NA,NA,NA,NA,0.280776523,-0.105504241,0.299878099,0.313113027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.465962104,0.200927226,-0.879746867,-0.091991508,NA,NA,NA,NA
Sapajus apella,-1.6164688,0.77748413,-3.414327727,-0.373822344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082655035,0.182893683,-0.283877389,0.426688435,NA,NA,NA,NA
Sapajus xanthosternos,-1.042300042,0.594030644,-2.324734309,0.02554045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.709805486,0.490621904,-1.729455347,0.17903631,NA,NA,NA,NA
Suricata suricatta,-0.2109076,-0.001058337,-0.127228028,0.155172064,NA,NA,NA,NA,0.109112117,0.182803641,0.464036014,-0.128751191,-0.429069431,0.151071664,0.185477083,0.480707257,0.055921927,0.558688754,-0.196613154,0.150804611,NA,NA,NA,NA,0.278411008,-0.022239218,0.140180408,-0.056784229,-0.523031204,0.086165991,0.24142565,0.52430969
Sus scrofa,NA,NA,NA,NA,NA,NA,NA,NA,-0.262443766,0.204218429,-0.678412341,0.111721331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290551753,-0.505984362,-0.042140865,-0.426418797,0.10961261,-0.074523038,0.19485749,0.321938024
Symphalangus syndactylus,-1.084720571,0.386742422,-1.887734013,-0.369217247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tapirus terrestris,-0.19788318,0.29609337,-0.813379143,0.341550416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.297051363,0.428610568,-1.206138178,0.47774706,NA,NA,NA,NA
Theropithecus gelada,-0.608057079,1.181743666,-3.414257692,1.21424505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus auratus,0.385148855,0.280328085,-0.214445274,0.890644979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus cristatus,-0.643170035,0.443106336,-1.597629465,0.147569218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus francoisi,0.011620357,0.288474436,-0.584675832,0.550213688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragelaphus angasii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11615244,0.240640299,-0.619332057,0.336337886,NA,NA,NA,NA
Tragelaphus oryx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.251642523,0.123644522,-0.503396563,-0.019875662,NA,NA,NA,NA
Tragelaphus strepsiceros,0.348306297,0.199694094,-0.055853054,0.729275402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050013435,0.171352375,-0.305535952,0.384483523,NA,NA,NA,NA
Ursus americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.246761386,0.222721061,-0.699029746,0.174589769,NA,NA,NA,NA
Ursus arctos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.129978699,0.182751445,-0.499519333,0.211125041,NA,NA,NA,NA
Varecia rubra,-0.328964231,-0.73948634,0.240555168,-0.154472172,NA,NA,NA,NA,NA,NA,NA,NA,0.196839222,0.035647577,0.193546272,0.596231826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varecia variegata,-0.179772793,-0.621511552,0.386901007,0.054716906,NA,NA,NA,NA,NA,NA,NA,NA,0.214427593,0.221692152,0.160934086,0.686653836,NA,NA,NA,NA,NA,NA,NA,NA,-0.225653664,0.206681749,-0.645062302,0.155312591,NA,NA,NA,NA
Vicugna pacos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.146026984,-0.430871183,-0.040850975,-0.535616989,0.140608655,0.116996858,0.241607092,0.409745697
Vicugna vicugna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.266668902,0.331730173,-0.965762089,0.347757077,NA,NA,NA,NA
Vulpes lagopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144744762,0.21467249,-0.578275326,0.263220428,NA,NA,NA,NA
Vulpes vulpes,NA,NA,NA,NA,NA,NA,NA,NA,-0.296047067,0.31762338,-0.948251021,0.271133223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264575557,0.18643358,-0.644181292,0.088117384,NA,NA,NA,NA
Vulpes zerda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310258689,0.224517423,-0.156578058,0.735276872,NA,NA,NA,NA
Wallabia bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.670874251,0.305098094,-2.314396942,-1.11237838,NA,NA,NA,NA
Zalophus californianus,-0.167176784,0.528965578,-1.280464934,0.774695662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.181332873,0.186735362,-0.560098464,0.1735132,NA,NA,NA,NA
